ID;Species;Location;Date.Collected;NoIndiv;Dry.Mass.mg;Dry.Mass.mg.Average;Dry.Mass.mg.Range.;DryMass;Body.Length.mm;Body.Length.mm.Average;Body.Length.mm.Range;BodyL;Head.Width.mm;Head.Width.mm.Average;Head.Width.mm.Range;HeadW;d13C;C Amount (ug);d15N;N.Amount.ug;Issues
N237-N239-N241-N242-N244-N245-N246-N247-N252-N253-N254-N255-N256-N257-N259-N261-N263;Notonecta;DC108_1;7/15/2015;17;0.01,0.03,0.04,0.03,0.01,0.04,0.05,0.04,0.02,0.05,0.05,0.03,0.05,0.01,0.04,0.04,0.03;0.033529412;0.04;0.033529412;1.382,1.202,1.067,1.032,1.286,1.227,1.143,1.204,1.252,1.229,1.32,1.29,1.293,1.339,1.224,0.981,1.311;1.222.470.588;0.401;1.222;NA;NA;NA;NA;-34.51;247.91;3.33;71.95;
BU326-BU327-BU328-BU331-BU332-BU333-BU334-BU335-BU336-BU337-BU344-BU345-BU346-BU347-BU348;Buenoa;DC108_1;7/15/2015;15;0.01,0.01,0.07,0.01,0.05,0.06,0.05,0.01,0.01,0.08,0.02,0.01,0.08,0.05,0.02;0.036;0.07;0.036;1.309,1.287,1.187,1.087,1.476,1.246,1.108,1.219,1.185,1.270,1.408,1.324,1.353,1.178,1.198;1.255.666.667;0.389;1.255;NA;NA;NA;NA;-34.78;319.01;3.92;89.72;
BU545-BU547-BU551-BU556-BU557-BU558-BU560-BU564-BU566-BU567-BU568-BU569-BU570-BU571;Buenoa;DC108_1;7/15/2015;14;0.02,0.08,0.08,0.05,0.06,0.01,0.02,0.02,0.02,0.01,0.07,0.01,0.06,0.06;0.040714286;0.07;0.040714286;1.299,1.600,1.582,1.326,1.246,1.284,1.289,1.293,1.379,1.039,1.128,1.127,1.208,1.214;1.286.714.286;0.561;1.286;NA;NA;NA;NA;-34.63;337.36;2.77;98.75;
BU573-BU577-BU578-BU580-BU583-BU584-BU585-BU591-BU595-BU598-BU600-BU604-BU607;Buenoa;DC108_1;7/15/2015;13;0.06,0.07,0.08,0.06,0.07,0.07,0.06,0.09,0.06,0.06,0.06,0.07,0.09;0.069230769;0.03;0.069230769;1.279,1.331,1.214,1.487,1.337,1.229,1.166,1.379,1.645,1.172,1.029,1.278,1.345;1.299.307.692;0.616;1.299;NA;NA;NA;NA;-35.17;371.96;2.83;102.71;
BU247-BU248-BU249-BU250-BU251-BU252-BU253-BU254;Buenoa;DC108_1;7/15/2015;8;0.9,0.07,0.09,0.05,0.06,0.07,0.01,0.01;0.1575;0.89;0.1575;1.329,1.084,1.655,1.22,1.350,1.413,1.308,1.266;1.328.125;0.571;1.328;NA;NA;NA;NA;-35.45;234.54;2.73;66.06;
BU429-BU431-BU438-BU439-BU440-BU441-BU444-BU446-BU448-BU449-BU452-BU453-BU454-BU456-BU457-BU458-BU459;Buenoa;DC108_1;7/15/2015;17;0.04,0.06,0.04,0.05,0.03,0.05,0.01,0.05,0.03,0.12,0.02,0.01,0.03,0.06,0.07,0.07,0.01;0.044117647;0.11;0.044117647;1.274,1.747,1.259,1.377,1.469,1.370,1.254,1.355,1.612,2.118,1.252,1.353,1.358,1.326,1.273,1.264,1.193;1.403.176.471;0.371;1.403;NA;NA;NA;NA;-35.2;426.14;3.22;126.38;
BU485-BU501-BU503-BU507-BU510-BU512-BU513-BU514-BU518-BU519-BU520-BU524;Buenoa;DC108_1;7/15/2015;12;0.04,0.04,0.03,0.05,0.06,0.06,0.05,0.03,0.03,0.05,0.04,0.07;0.045833333;0.04;0.045833333;1.473,1.617,1.617,1.296,1.423,1.486,1.357,1.320,1.181,1.364,1.249,1.46;1.403.583.333;0.436;1.403;NA;NA;NA;NA;-35.44;313.61;3.26;92.01;
BU292-BU294--BU295-BU-296-BU297-BU298-BU299-BU300;Buenoa;DC108_1;7/15/2015;8;0.06,0.16,0.01,0.12,0.03,0.01,0.06,0.02;0.05875;0.15;0.05875;1.648,1.863,1.203,1.484,1.489,1.31,1.325,1.186;1.431.285.714;0.677;1.431;NA;NA;NA;NA;-35.43;290.97;3.15;81.27;
BU421-BU466-BU468-BU474-BU486-BU487-BU508;Buenoa;DC108_1;7/15/2015;7;0.06,0.08,0.06,0.08,0.07,0.07,0.08;0.071428571;0.02;0.071428571;1.221,1.286,1.358,2.175,1.538,1.488,1.608;1.524.857.143;0.954;1.524;NA;NA;NA;NA;-35.48;260.82;2.76;77.4;
BU427-BU434-BU435-BU436-BU447-BU451-BU455;Buenoa;DC108_1;7/15/2015;7;0.1,0.11,0.1,0.11,0.1,0.1,0.1;0.102857143;0.01;0.102857143;1.392,1.479,1.546,1.556,1.622,1.517,1.679;1.541.571.429;0.287;1.541;NA;NA;NA;NA;-35.08;243.61;3.24;71.1;
BU428-BU430-BU437-BU442-BU443-BU445-BU450;Buenoa;DC108_1;7/15/2015;7;0.08,0.13,0.08,0.09,0.09,0.13,0.08;0.097142857;0.05;0.097142857;1.271,2.066,1.246,1.376,1.504,1.671,1.750;1.554.857.143;0.82;1.554;NA;NA;NA;NA;-35.09;260.82;3.32;76.55;
N230-N231-N232-N233-N235-N236;Notonecta;DC108_1;7/15/2015;6;0.1,0.12,0.18,0.06,0.08,0.06;0.1;0.12;0.1;1.845,1.486,2.115,1.533,1.308,1.249;1.589.333.333;0.866;1.589;NA;NA;NA;NA;-35.99;223.2;3.56;62.96;
BU266-BU274-BU278-BU280-BU283-BU284-BU285-BU286;Buenoa;DC108_1;7/15/2015;8;0.08,0.08,0.01,0.07,0.14,0.17,0.09,0.15;0.09875;0.16;0.09875;1.827,1.374,1.307,1.579,1.898,2.033,1.555,1.816;1.653.285.714;0.726;1.653;NA;NA;NA;NA;-35.57;467.42;2.73;133.52;
BU375-BU390-BU393-BU401-BU412-BU413;Buenoa;DC108_1;7/15/2015;6;0.1,0.12,0.1,0.12,0.12,0.11;0.111666667;0.02;0.111666667;1.547,1.569,1.66,1.794,1.741,1.657;1.661.333.333;0.247;1.661;NA;NA;NA;NA;-36.46;320.09;2.6;94.3;
N160-N162-N163-N164-N165-N166-N167-N168-N169-N170-N171-N172-N173-N174-N175;Notonecta;DC108_1;7/15/2015;15;0.35,0.06,0.01,0.01,0.01,0.1,0.01,0.01,0.01,0.01,0.04,0.01,0.1,0.01,0.01;0.05;0.34;0.05;2.17,1.993,1.504,1.274,1.467,2.111,1.131,1.81,1.934,1.253,1.869,1.532,2.069,1.682,1.504;1.686.866.667;1.039;1.686;NA;NA;NA;NA;-35.45;768.05;2.89;214.76;
N143-N144-N146-N147;Notonecta;DC108_1;7/15/2015;4;0.12,0.20,0.05,0.14;0.1275;0.15;0.1275;1.995,N/A,1.642,1.512;1.716.333.333;0.483;1.716;NA;NA;NA;NA;-36.27;272.34;2.88;78.69;
BU238-BU239-BU240-BU241-BU244-BU245;Buenoa;DC108_1;7/15/2015;6;0.01,0.04,0.09,0.38,0.01,0.13;0.11;0.37;0.11;1.349,1.32,1.835,2.869,1.286,1.762;1.736.833.333;1.583;1.736;NA;NA;NA;NA;-35.86;354.29;2.79;99.7;
N220-N224-N225-N226-N227-N228;Notonecta;DC108_1;7/15/2015;6;0.05,0.19,0.09,0.05,0.19,0.02;0.098333333;0.17;0.098333333;1.897,2.12,2.03,1.485,2.019,1.439;1.831.666.667;0.681;1.831;NA;NA;NA;NA;-33.7;306.06;3.68;86.47;
BU316-BU318-BU319;Buenoa;DC108_1;7/15/2015;3;0.22,0.16,0.13;0.17;0.09;0.17;2.078,2.023,1.778;1.959.666.667;0.3;1.959;NA;NA;NA;NA;-35.85;256.51;2.76;74.49;
BU470-BU477-BU478-BU480-BU481-BU482-BU490-BU502-BU506-BU509-BU511-BU515-BU516-BU517-BU521-BU523;Buenoa;DC108_1;7/15/2015;18;0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01;0.016666667;0.01;0.016666667;1.329,1.255,1.364,1.349,1.290,1.208,1.520,1.334,1.700,1.320,1.363,1.396,1.374,1.357,2.502,1.200;14.288.125;1.302;14.28;NA;NA;NA;NA;-35.28;428.31;2.97;126.38;
N221-N222-N223;Notonecta;DC108_1;7/15/2015;3;0.2,0.21,0.22;0.21;0.02;0.21;1.84,2.089,2.12;2.016.333.333;0.28;2.016;NA;NA;NA;NA;-33.91;261.89;2.68;75.83;
BU467-BU475-BU483;Buenoa;DC108_1;7/15/2015;3;0.26,0.21,0.24;0.236666667;0.05;0.236666667;1.847,2.121,2.231;2.066.333.333;0.384;2.066;NA;NA;NA;NA;-36.55;300.67;2.54;86.1;
BU168-BU171-BU174;Buenoa;DC108_1;7/15/2015;3;.17,.29,.13;0.196666667;0.16;0.196666667;1.817,2.400,2.004;2.073.666.667;0.583;2.073;NA;NA;NA;NA;-35.19;241.92;3.13;67.95;
BU155-BU156-BU157;Buenoa;DC108_1;7/15/2015;3;0.29,0.26,0.29;0.28;0.03;0.28;1.922,2.272,2.105;2.099.666.667;0.35;2.099;NA;NA;NA;NA;-36.36;371.34;3.04;104.99;
BU368-BU372-BU415;Buenoa;DC108_1;7/15/2015;3;0.23,0.22,0.22;0.223333333;0.01;0.223333333;2.629,2.002,1.881;2.170.666.667;0.748;2.17;NA;NA;NA;NA;-35.91;282.35;2.82;83.81;
BU489-BU494-BU498;Buenoa;DC108_1;7/15/2015;3;0.21,0.3,0.25;0.253333333;0.09;0.253333333;2.161,2.112,2.395;2.222.666.667;0.283;2.222;NA;NA;NA;NA;-35.94;339.52;2.69;101.39;
BU382-BU398-BU405;Buenoa;DC108_1;7/15/2015;3;0.25,0.24,0.25;0.246666667;0.01;0.246666667;2.170,2.433,2.140;2.247.666.667;0.293;2.247;NA;NA;NA;NA;-36.47;325.48;2.96;96.47;
BU533-BU534-BU538;Buenoa;DC108_1;7/15/2015;3;0.21,0.22,0.22;0.216666667;0.01;0.216666667;2.497,2.059,2.28;2.278.666.667;0.438;2.278;NA;NA;NA;NA;-36.16;314.69;2.5;92.25;
N140-N141-N142;Notonecta;DC108_1;7/15/2015;3;0.37,0.06,0.26;0.23;0.31;0.23;2.863,1.9,2.075;2.279.333.333;0.963;2.279;NA;NA;NA;NA;-36.76;378;2.58;109.38;
BU293-BU313-BU314;Buenoa;DC108_1;7/15/2015;3;0.28,0.24,0.26;0.26;0.04;0.26;2.701,2.209,1.967;2.292.333.333;0.734;2.292;NA;NA;NA;NA;-35.23;395.78;2.83;112.9;
BU307-BU312-BU322;Buenoa;DC108_1;7/15/2015;3;0.32,0.37,0.30;0.33;0.07;0.33;2.781,2.640,1.816;2.412.333.333;0.965;2.412;NA;NA;NA;NA;-36.66;453.28;2.26;127.57;
BU374-BU399-BU404;Buenoa;DC108_1;7/15/2015;3;0.3,0.29,0.29;0.293333333;0.01;0.293333333;2.184,2.783,2.340;2.435.666.667;0.599;2.435;NA;NA;NA;NA;-35.4;395.78;2.54;116.96;
N176-N180-N186;Notonecta;DC108_1;7/15/2015;3;0.18,0.24,0.46;0.293333333;0.28;0.293333333;2.18,2.075,3.304;2.519.666.667;1.229;2.519;NA;NA;NA;NA;-30.63;405.91;2.52;107.02;
BU388-BU397-BU406;Buenoa;DC108_1;7/15/2015;3;0.28,0.28,0.39;0.316666667;0.11;0.316666667;2.148,2.775,2.849;2.590.666.667;0.701;2.59;NA;NA;NA;NA;-36.14;459.81;2.78;131.14;
D93- D94- D95;Cybister;DC108_1;5/20/2015;3;2.6,2.8,2.2;2.533.333.333;0.6;2.533333333;3.28,3.104,3.289;3.224.333.333;0.185;3.224;2.205,2.234,2.288;2.242.333.333;0.083;2.242.333.333;-31.89;565.33;2.88;169.19;
N132-N133-N136;Notonecta;DC108_1;7/15/2015;3;0.11,2.08,0.21;0.8;1.97;0.8;2.048,5.52,2.145;3.237.666.667;3.472;3.237;NA;NA;NA;NA;-31.06;240.51;2.94;59.64;
Ac14- Ac15- Ac18;Acris;DC108_1;7/15/2015;3;0.5,0.5,0.5;0.5;0;0.5;3.548,3.651,3.462;3.553.666.667;0.189;3.553;NA;NA;NA;NA;-29.09;571.72;2.55;160.84;
Ac11- Ac12- Ac16;Acris;DC108_1;7/15/2015;3;0.4,0.4,0.4;0.4;0;0.4;3.475,3.384,4.008;3.622.333.333;0.624;3.622;NA;NA;NA;NA;-27.82;559.72;3.27;160.84;
Be81-_Be82-_Be88;Belostoma;NicksPond;7/14/2015;3;0.2,0.3,0.3;0.266666667;0.1;0.266666667;4.53,4.58,4.73;4.613.333.333;0.2;4.613;NA;NA;NA;NA;-30.14;312.69;2.86;72.8;
Be53-_Be60-_Be61;Belostoma;NicksPond;07/07/2015;3;0.3,0.2,0.2;0.233333333;0.1;0.233333333;5.67,4.49,4.64;4.933.333.333;1.03;4.933;NA;NA;NA;NA;-28.64;577.26;3.6;159.16;
BU141-BU142-BU143;Buenoa;DC108_1;7/15/2015;3;2.71,2.15,2.20;2.353.333.333;0.56;2.35333333333333;6.085,4.797,5.626;5.502.666.667;0.459;5.502;NA;NA;NA;NA;-35.74;755.63;3.57;202.06;
R47;Rana.sphenocephala;DC108_1;06/10/2015;3;NA;25.1;NA;25.1;5.968,6.037,5.480;5.828.333.333;0.557;5.828;NA;NA;NA;NA;-34.21;256.75;2.2;69.22;
Be42-_Be54-_Be69;Belostoma;NicksPond;07/07/2015;3;2.5,2.3,2.4;2.4;0.2;2.4;9.08,6.49,8.84;8.136.666.667;2.59;8.136;NA;NA;NA;NA;-30.88;437.73;2.41;102.71;
Ac1- Ac5- Ac9- Ac27;Acris;DC108_1;7/15/2015;4;0.4,0.4,0.4,0.2;0.35;0.2;0.35;3.038,3.179,2.589,3.259;301.625;0.67;301.625;NA;NA;NA;NA;-27.17;574.84;3.58;163.42;
Ac21- Ac22;Acris;DC108_1;7/15/2015;2;0.5,0.5;0.5;0;0.5;3.729,3.546;36.375;0.183;36.375;NA;NA;NA;NA;-28.72;384.21;2.78;111.92;
Ac28- Ac29;Acris;DC108_1;7/15/2015;2;0.5,0.5;0.5;0;0.5;3.682,4.096;3.889;0.414;3.889;NA;NA;NA;NA;-28.16;561.9;1.66;158.57;
Ac3- Ac7- Ac8;Acris;DC108_1;7/15/2015;3;0.5,0.5,0.5;0.5;0;0.5;3.213,3.312,3.123;3.216;0.189;3.216;NA;NA;NA;NA;-27.05;391.75;3.92;110.77;
Ac39- Ac41- Ac52;Acris;DC108_1;7/15/2015;3;0.6,0.7,0.3;0.533333333;0.4;0.533333333;4.413,4.651,3.497;4.187;1.154;4.187;NA;NA;NA;NA;-30.38;1125.75;1.77;303.98;
Ac13- Ac23;Acris;DC108_1;7/15/2015;2;0.6,0.6;0.6;0;0.6;3.19,3.252;3.221;0.062;3.221;NA;NA;NA;NA;-26.51;320.85;4.08;88.92;
Ac30- Ac36;Acris;DC108_1;7/15/2015;2;0.6,0.6;0.6;0;0.6;3.625,3.892;37.585;0.267;37.585;NA;NA;NA;NA;-27.76;486.86;3.06;139.15;
Ac2- Ac6;Acris;DC108_1;7/15/2015;2;0.7,0.7;0.7;0;0.7;2.942,2.855;28.985;0.087;28.985;NA;NA;NA;NA;-26.85;264.18;4.04;72.66;
Ac17- Ac24;Acris;DC108_1;7/15/2015;2;0.7,0.7;0.7;0;0.7;3.849,4.235;4.042;0.386;4.042;NA;NA;NA;NA;-28.58;601.22;1.83;171.08;
Ac40;Acris;DC108_1;7/15/2015;1;0.8;NA;NA;0.8;4.333;NA;NA;4.333;NA;NA;NA;NA;-29.69;463.02;1.76;106.85;
Ac4- Ac20;Acris;DC108_1;7/15/2015;2;0.8,0.8;0.8;0;0.8;3.367,3.645;3.506;0.278;3.506;NA;NA;NA;NA;-28.85;489.03;2.79;133.42;
Ac26- Ac32;Acris;DC108_1;7/15/2015;2;0.8,0.8;0.8;0;0.8;3.809,4.403;4.106;0.594;4.106;NA;NA;NA;NA;-29.92;728.64;2.08;203.89;
Ac48;Acris;DC108_1;7/15/2015;1;0.9;NA;NA;0.9;3.891;NA;NA;3.891;NA;NA;NA;NA;-29.6;408.99;1.75;116.18;
Ac10- Ac19;Acris;DC108_1;7/15/2015;2;0.9,0.9;0.9;0;0.9;3.711,3.452;35.815;0.259;35.815;NA;NA;NA;NA;-28.61;450.04;2.99;124.24;
Ac38;Acris;DC108_1;7/15/2015;1;1;NA;NA;1;4.276;NA;NA;4.276;NA;NA;NA;NA;-30.43;373.45;2.28;98.88;
Ac50;Acris;DC108_1;7/15/2015;1;1;NA;NA;1;4.322;NA;NA;4.322;NA;NA;NA;NA;-29.27;386.37;2.62;103.85;
Ac33;Acris;DC108_1;7/15/2015;1;1.1;NA;NA;1.1;3.841;NA;NA;3.841;NA;NA;NA;NA;-29.63;210.94;2.91;58.56;
Ac46;Acris;DC108_1;7/15/2015;1;1.1;NA;NA;1.1;4.414;NA;NA;4.414;NA;NA;NA;NA;-31.04;396.06;2.92;115.03;
Ac31;Acris;DC108_1;7/15/2015;1;1.1;NA;NA;1.1;4.577;NA;NA;4.577;NA;NA;NA;NA;-28.71;379.91;2.63;106.15;
Ac47;Acris;DC108_1;7/15/2015;1;1.1;NA;NA;1.1;4.799;NA;NA;4.799;NA;NA;NA;NA;-29.35;514.01;2.1;147.16;
Ac62;Acris;DC108_1;7/15/2015;1;1.1;NA;NA;1.1;4.869;NA;NA;4.869;NA;NA;NA;NA;-29.43;539.02;1.99;147.16;
Ac54;Acris;DC108_1;7/15/2015;1;1.2;NA;NA;1.2;4.876;NA;NA;4.876;NA;NA;NA;NA;-28.03;620.91;1.76;168.81;
Ac51;Acris;DC108_1;7/15/2015;1;1.2;NA;NA;1.2;5.217;NA;NA;5.217;NA;NA;NA;NA;-29.46;697.78;2.06;190.35;
Ac37;Acris;DC108_1;7/15/2015;1;1.4;NA;NA;1.4;4.273;NA;NA;4.273;NA;NA;NA;NA;-32.05;562.99;2.49;169.95;
Ac42;Acris;DC108_1;7/15/2015;1;1.4;NA;NA;1.4;4.468;NA;NA;4.468;NA;NA;NA;NA;-28.37;411.15;2.12;110.31;
Ac45;Acris;DC108_1;7/15/2015;1;1.4;NA;NA;1.4;4.504;NA;NA;4.504;NA;NA;NA;NA;-27.62;476.02;2.53;128.83;
Ac34- Ac35;Acris;DC108_1;7/15/2015;2;1.8,1;1.4;0.7;1.4;4.197,4.055;4.126;0.142;4.126;NA;NA;NA;NA;-29.21;775.07;2.44;220.75;
Ac43;Acris;DC108_1;7/15/2015;1;1.5;NA;NA;1.5;4.735;NA;NA;4.735;NA;NA;NA;NA;-29.68;504.23;2.58;142.58;
Ac53;Acris;DC108_1;7/15/2015;1;1.5;NA;NA;1.5;5.135;NA;NA;5.135;NA;NA;NA;NA;-27.98;713.2;1.86;194.87;
Ac49;Acris;DC108_1;7/15/2015;1;1.8;NA;NA;1.8;5.007;NA;NA;5.007;NA;NA;NA;NA;-29.55;564.09;2.07;150.58;
Ac56- Ac57;Acris;DC108_1;7/15/2015;2;2.2,2.4;2.3;0.2;2.3;5.559,6.088;58.235;0.529;58.235;NA;NA;NA;NA;-29.42;559.72;2.09;157.43;
Ac44- Ac55;Acris;DC108_1;7/15/2015;2;2.5,2.6;2.55;0.1;2.55;4.857,4.962;49.095;0.105;49.095;NA;NA;NA;NA;-30.7;464.11;1.93;121.94;
Ac58- Ac72;Acris;DC108_1;7/15/2015;2;2.5,2.7;2.6;0.2;2.6;5.493,5.993;5.743;0.5;5.743;NA;NA;NA;NA;-32.15;300.51;1.93;80.68;
Ac72;Acris;DC108_1;7/15/2015;1;2.7;NA;NA;2.7;5.993;NA;NA;5.993;NA;NA;NA;NA;-30.38;411.15;1.58;112.38;
Ac61- Ac70;Acris;DC108_1;7/15/2015;2;2.9,3;2.95;0.1;2.95;6.515,6.024;62.695;0.491;62.695;NA;NA;NA;NA;-29.11;607.78;1.19;177.89;
Ac59- Ac60;Acris;DC108_1;7/15/2015;2;3.1,3;3.05;0.1;3.05;6.626,6.547;65.865;0.079;65.865;NA;NA;NA;NA;-30.12;713.2;1.97;200.51;
Ac63;Acris;DC108_1;7/15/2015;1;4.5;NA;NA;4.5;6.44;NA;NA;6.44;NA;NA;NA;NA;-31.37;353.03;1.37;92.74;
Ac64;Acris;DC108_1;7/15/2015;1;5;NA;NA;5;6.498;NA;NA;6.498;NA;NA;NA;NA;-28.57;268.45;1.74;76.97;
Ac65;Acris;DC108_1;7/15/2015;1;6.6;NA;NA;6.6;7.556;NA;NA;7.556;NA;NA;NA;NA;-31.56;609.97;1.57;167.67;
Ac73;Acris;DC108_1;7/15/2015;1;6.7;NA;NA;6.7;7.871;NA;NA;7.871;NA;NA;NA;NA;-30.47;597.94;1.66;173.35;
Ac67;Acris;DC108_1;7/15/2015;1;7.3;NA;NA;7.3;7.115;NA;NA;7.115;NA;NA;NA;NA;-30.93;705.49;2.04;207.27;
Ac71;Acris;DC108_1;7/15/2015;1;7.4;NA;NA;7.4;7.612;NA;NA;7.612;NA;NA;NA;NA;-34.52;255.65;2.14;47.57;
Ac68;Acris;DC108_1;7/15/2015;1;8.5;NA;NA;8.5;8.07;NA;NA;8.07;NA;NA;NA;NA;-31.79;502.06;1.84;142.58;
Ac82;Acris;DC108_1;7/15/2015;1;8.9;NA;NA;8.9;8.324;NA;NA;8.324;NA;NA;NA;NA;-29.38;465.19;1.23;123.09;
Ac74;Acris;DC108_1;7/15/2015;1;10;NA;NA;10;9.133;NA;NA;9.133;NA;NA;NA;NA;-29.49;651.61;1.12;185.82;
Ac77;Acris;DC108_1;7/15/2015;1;10.4;NA;NA;10.4;8.654;NA;NA;8.654;NA;NA;NA;NA;-30.94;620.91;1.23;172.22;
Ac75;Acris;DC108_1;7/15/2015;1;11.1;NA;NA;11.1;9.309;NA;NA;9.309;NA;NA;NA;NA;-31.96;575;1.85;166.53;
Ac76;Acris;DC108_1;7/15/2015;1;11.8;NA;NA;11.8;8.531;NA;NA;8.531;NA;NA;NA;NA;-31.99;734.16;1.8;215.14;
Ac78;Acris;DC108_1;7/15/2015;1;12.8;NA;NA;12.8;9.905;NA;NA;9.905;NA;NA;NA;NA;-31.38;514.01;1.86;143.73;
Ac90;Acris;DC108_1;7/15/2015;1;14.2;NA;NA;14.2;9.42;NA;NA;9.42;NA;NA;NA;NA;-31.53;515.09;1.35;144.87;
Ac80;Acris;DC108_1;7/15/2015;1;14.6;NA;NA;14.6;9.507;NA;NA;9.507;NA;NA;NA;NA;-32.56;802.77;1.53;225.24;
Ac83;Acris;DC108_1;7/15/2015;1;17.5;NA;NA;17.5;10.431;NA;NA;10.431;NA;NA;NA;NA;-31.22;709.9;1.49;191.48;
Ac81;Acris;DC108_1;7/15/2015;1;19.4;NA;NA;19.4;9.966;NA;NA;9.966;NA;NA;NA;NA;-30.86;356.25;1.92;102.11;
Ac85;Acris;DC108_1;7/15/2015;1;20.5;NA;NA;20.5;10.29;NA;NA;10.29;NA;NA;NA;NA;-33.41;660.39;1.3;149.44;
Ac89;Acris;DC108_1;7/15/2015;1;21;NA;NA;21;10.427;NA;NA;10.427;NA;NA;NA;NA;-31.58;571.72;1.62;157.43;
Ac86;Acris;DC108_1;7/15/2015;1;22.3;NA;NA;22.3;11.325;NA;NA;11.325;NA;NA;NA;NA;-31.31;545.56;0.92;148.3;
Ac84;Acris;DC108_1;7/15/2015;1;22.3;NA;NA;22.3;11.641;NA;NA;11.641;NA;NA;NA;NA;-29.35;566.27;1.31;154.01;
Ac87;Acris;DC108_1;7/15/2015;1;23.5;NA;NA;23.5;11.599;NA;NA;11.599;NA;NA;NA;NA;-31.44;562.99;1.96;160.84;
Ac79;Acris;DC108_1;7/15/2015;1;24.5;NA;NA;24.5;10.07;NA;NA;10.07;NA;NA;NA;NA;-31.51;552.09;1.7;157.43;
Ac88;Acris;DC108_1;7/15/2015;1;25.4;NA;NA;25.4;12.247;NA;NA;12.247;NA;NA;NA;NA;-31.98;670.28;1.77;189.22;
Ac92;Acris;DC108_1;7/15/2015;1;28.2;NA;NA;28.2;10.419;NA;NA;10.419;NA;NA;NA;NA;-30.76;529.23;1.33;147.16;
Ac101;Acris;DC108_1;7/15/2015;1;28.6;NA;NA;28.6;10.709;NA;NA;10.709;NA;NA;NA;NA;-30.28;533.58;2.18;144.87;
Ac100;Acris;DC108_1;7/15/2015;1;28.7;NA;NA;28.7;10.578;NA;NA;10.578;NA;NA;NA;NA;-30.02;762.89;1.49;210.64;
Ac98;Acris;DC108_1;7/15/2015;1;29.6;NA;NA;29.6;11.816;NA;NA;11.816;NA;NA;NA;NA;-30.83;589.19;2.15;150.58;
Ac91;Acris;DC108_1;7/15/2015;1;31.9;NA;NA;31.9;11.43;NA;NA;11.43;NA;NA;NA;NA;-31.54;631.87;1.74;165.4;
Ac97;Acris;DC108_1;7/15/2015;1;32.9;NA;NA;32.9;11.73;NA;NA;11.73;NA;NA;NA;NA;-28.98;679.07;0.94;161.98;
Ac95;Acris;DC108_1;7/15/2015;1;37.1;NA;NA;37.1;11.872;NA;NA;11.872;NA;NA;NA;NA;-30.46;745.21;1.78;197.12;
Ac93;Acris;DC108_1;7/15/2015;1;37.3;NA;NA;37.3;12.044;NA;NA;12.044;NA;NA;NA;NA;-31.37;776.17;1.5;194.87;
Ac94;Acris;DC108_1;7/15/2015;1;38.4;NA;NA;38.4;12.45;NA;NA;12.45;NA;NA;NA;NA;-31.1;734.16;1.27;193.74;
Ac96;Acris;DC108_1;7/15/2015;1;38.7;NA;NA;38.7;12.439;NA;NA;12.439;NA;NA;NA;NA;-32.63;709.9;1.34;168.81;
Ac99;Acris;DC108_1;7/15/2015;1;39.1;NA;NA;39.1;12.147;NA;NA;12.147;NA;NA;NA;NA;-29.09;670.28;1.38;194.87;
Be84-_Be85;Belostoma;NicksPond;7/14/2015;2;0.3,0.3;0.3;0;0.3;4.09,3.51;3.8;0.58;3.8;NA;NA;NA;NA;-31.34;221.75;3.66;45.32;
Be62-_Be66;Belostoma;NicksPond;07/07/2015;2;0.4,0.4;0.4;0;0.4;4.67,9.13;6.9;4.46;6.9;NA;NA;NA;NA;-30.61;2102.09;3.43;539.78;
1B_31;Belostoma;DC108_1;09/09/2015;1;0.5;NA;NA;0.5;4.46;NA;NA;4.46;NA;NA;NA;NA;-31.61;224;3.27;61.74;
Be64;Belostoma;NicksPond;07/07/2015;1;0.5;NA;NA;0.5;4.46;NA;NA;4.46;NA;NA;NA;NA;-27.79;200.54;3.53;53.17;
B65;Belostoma;DC108_1;9/16/2015;1;0.5;NA;NA;0.5;4.514;NA;NA;4.514;NA;NA;NA;NA;-35.11;344.51;2.44;92.35;
Be63;Belostoma;NicksPond;07/07/2015;1;0.5;NA;NA;0.5;4.61;NA;NA;4.61;NA;NA;NA;NA;-30.33;208.96;3.01;56.27;
1B_4;Belostoma;DC108_1;09/09/2015;1;0.5;NA;NA;0.5;4.653;NA;NA;4.653;NA;NA;NA;NA;-31.68;354;2.28;98.19;
Be83;Belostoma;NicksPond;7/14/2015;1;0.5;NA;NA;0.5;4.66;NA;NA;4.66;NA;NA;NA;NA;-30.62;189.56;3.85;47.03;
Be56;Belostoma;NicksPond;07/07/2015;1;0.5;NA;NA;0.5;5.97;NA;NA;5.97;NA;NA;NA;NA;-29.1;270.2;3.62;74.07;
1B_32;Belostoma;DC108_1;09/09/2015;1;0.6;NA;NA;0.6;4.208;NA;NA;4.208;NA;NA;NA;NA;-31.78;272.04;3.88;72.56;
1B_18;Belostoma;DC108_1;09/09/2015;1;0.6;NA;NA;0.6;4.725;NA;NA;4.725;NA;NA;NA;NA;-32.21;333.97;2.78;88.03;
Be79;Belostoma;NicksPond;7/14/2015;1;0.7;NA;NA;0.7;3.83;NA;NA;3.83;NA;NA;NA;NA;-29.98;306.39;3.8;80.62;
