ID;Species;Location;Date.Collected;NoIndiv;Dry.Mass.mg;Dry.Mass.mg.Average;Dry.Mass.mg.Range.;DryMass;Body.Length.mm;Body.Length.mm.Average;Body.Length.mm.Range;BodyL;Head.Width.mm;Head.Width.mm.Average;Head.Width.mm.Range;HeadW;d13C;C Amount (ug);d15N;N.Amount.ug;Issues
BU540;Buenoa;DC108_1;7/15/2015;1;0.54;NA;NA;0.54;2.885;NA;NA;2.885;NA;NA;NA;NA;-36.54;226.42;2.19;67.94;
BU361;Buenoa;DC108_1;7/15/2015;1;0.54;NA;NA;0.54;3.637;NA;NA;3.637;NA;NA;NA;NA;-35.27;243.61;3.05;70.01;
BU383;Buenoa;DC108_1;7/15/2015;1;0.54;NA;NA;0.54;4.23;NA;NA;4.23;NA;NA;NA;NA;-36.31;257.59;2.1;73.52;
BU75;Buenoa;DC108_1;7/15/2015;1;0.55;NA;NA;0.55;2.906;NA;NA;2.906;NA;NA;NA;NA;-36.23;241.57;2.45;66.08;
BU188;Buenoa;DC108_1;7/15/2015;1;0.55;NA;NA;0.55;2.979;NA;NA;2.979;NA;NA;NA;NA;-36.52;286.32;2.47;81.56;
BU358;Buenoa;DC108_1;7/15/2015;1;0.55;NA;NA;0.55;3.251;NA;NA;3.251;NA;NA;NA;NA;-36.31;242.54;3.1;71.46;
BU204;Buenoa;DC108_1;7/15/2015;1;0.56;NA;NA;0.56;2.618;NA;NA;2.618;NA;NA;NA;NA;-34.39;590.77;3.37;158.29;
BU473;Buenoa;DC108_1;7/15/2015;1;0.56;NA;NA;0.56;2.934;NA;NA;2.934;NA;NA;NA;NA;-36.21;241.46;2.76;72.55;
BU158;Buenoa;DC108_1;7/15/2015;1;0.57;NA;NA;0.57;2.651;NA;NA;2.651;NA;NA;NA;NA;-36.11;255.65;1.91;72.81;
BU265;Buenoa;DC108_1;7/15/2015;1;0.57;NA;NA;0.57;2.958;NA;NA;2.958;NA;NA;NA;NA;-36.62;256.51;2.59;73.16;
BU112;Buenoa;DC108_1;7/15/2015;1;0.57;NA;NA;0.57;3.408;NA;NA;3.408;NA;NA;NA;NA;-37.49;269.39;3.38;78.49;
BU166;Buenoa;DC108_1;7/15/2015;1;0.57;NA;NA;0.57;3.533;NA;NA;3.533;NA;NA;NA;NA;-36.77;252.48;2.89;71.51;
Bu40;Buenoa;DC108_1;7/15/2015;1;0.58;NA;NA;0.58;2.924;NA;NA;2.924;NA;NA;NA;NA;-35.15;270.21;2.48;74.17;
BU259;Buenoa;DC108_1;7/15/2015;1;0.58;NA;NA;0.58;3.211;NA;NA;3.211;NA;NA;NA;NA;-37.19;294.2;3.32;80.55;
BU309;Buenoa;DC108_1;7/15/2015;1;0.58;NA;NA;0.58;3.449;NA;NA;3.449;NA;NA;NA;NA;-35.39;294.2;2.58;86.34;
BU 208;Buenoa;DC108_1;7/15/2015;1;0.58;NA;NA;0.58;3.566;NA;NA;3.566;NA;NA;NA;NA;-35.12;246.15;2.84;72.1;
BU229;Buenoa;DC108_1;7/15/2015;1;0.58;NA;NA;0.58;3.582;NA;NA;3.582;NA;NA;NA;NA;-34.93;270.45;2.53;78.96;
BU224;Buenoa;DC108_1;7/15/2015;1;0.58;NA;NA;0.58;3.605;NA;NA;3.605;NA;NA;NA;NA;-37.47;259.88;2.82;74.82;
Bu12;Buenoa;DC108_1;7/15/2015;1;0.58;NA;NA;0.58;3.638;NA;NA;3.638;NA;NA;NA;NA;-37.75;285.1;3.47;76.79;
BU 209;Buenoa;DC108_1;7/15/2015;1;0.58;NA;NA;0.58;3.735;NA;NA;3.735;NA;NA;NA;NA;-37.66;257.76;2.13;73.4;
BU527;Buenoa;DC108_1;7/15/2015;1;0.59;NA;NA;0.59;3.451;NA;NA;3.451;NA;NA;NA;NA;-35.61;275.89;2.36;81.27;
BU95;Buenoa;DC108_1;7/15/2015;1;0.59;NA;NA;0.59;3.547;NA;NA;3.547;NA;NA;NA;NA;-35.64;334.13;2.69;91.28;
BU268;Buenoa;DC108_1;7/15/2015;1;0.59;NA;NA;0.59;3.711;NA;NA;3.711;NA;NA;NA;NA;-36.13;266.2;2.32;75.34;
Bu35;Buenoa;DC108_1;7/15/2015;1;0.6;NA;NA;0.6;3.33;NA;NA;3.33;NA;NA;NA;NA;-37.36;304.26;3.38;85.23;
BU269;Buenoa;DC108_1;7/15/2015;1;0.6;NA;NA;0.6;3.428;NA;NA;3.428;NA;NA;NA;NA;-34.44;245.76;2.52;69.88;
BU151;Buenoa;DC108_1;7/15/2015;1;0.61;NA;NA;0.61;3.003;NA;NA;3.003;NA;NA;NA;NA;-36.23;273.62;2.13;79.08;
BU301;Buenoa;DC108_1;7/15/2015;1;0.61;NA;NA;0.61;3.452;NA;NA;3.452;NA;NA;NA;NA;-37.47;308.22;3.19;83.69;
BU472;Buenoa;DC108_1;7/15/2015;1;0.61;NA;NA;0.61;3.584;NA;NA;3.584;NA;NA;NA;NA;-36.18;312.53;2.92;92.25;
Bu53;Buenoa;DC108_1;7/15/2015;1;0.61;NA;NA;0.61;3.658;NA;NA;3.658;NA;NA;NA;NA;-35.44;314.92;2.17;89.38;
BU304;Buenoa;DC108_1;7/15/2015;1;0.62;NA;NA;0.62;4.549;NA;NA;4.549;NA;NA;NA;NA;-36.44;344.93;2.51;94.18;
BU193-BU195;Buenoa;DC108_1;7/15/2015;2;.45,.08;0.625;0.37;0.625;2.413,1.842;21.275;0.571;21.275;NA;NA;NA;NA;-35.43;254.59;1.98;72.45;
BU128;Buenoa;DC108_1;7/15/2015;1;0.63;NA;NA;0.63;3.778;NA;NA;3.778;NA;NA;NA;NA;-37.29;297.98;2.27;84.04;
BU192;Buenoa;DC108_1;7/15/2015;1;0.64;NA;NA;0.64;2.763;NA;NA;2.763;NA;NA;NA;NA;-35.93;268.33;2.61;75.29;
BU387;Buenoa;DC108_1;7/15/2015;1;0.64;NA;NA;0.64;3.633;NA;NA;3.633;NA;NA;NA;NA;-36.52;331.96;2.54;97.91;
BU242;Buenoa;DC108_1;7/15/2015;1;0.64;NA;NA;0.64;3.664;NA;NA;3.664;NA;NA;NA;NA;-36;304.34;2.81;84.86;
BU256;Buenoa;DC108_1;7/15/2015;1;0.65;NA;NA;0.65;3.634;NA;NA;3.634;NA;NA;NA;NA;-35.92;333.04;2.56;90.32;
BU133;Buenoa;DC108_1;7/15/2015;1;0.65;NA;NA;0.65;4.671;NA;NA;4.671;NA;NA;NA;NA;-37.41;300.1;3.59;86.4;
BU148;Buenoa;DC108_1;7/15/2015;1;0.66;NA;NA;0.66;3.241;NA;NA;3.241;NA;NA;NA;NA;-37.41;305.4;2.91;85.81;
BU465;Buenoa;DC108_1;7/15/2015;1;0.66;NA;NA;0.66;3.272;NA;NA;3.272;NA;NA;NA;NA;-34.92;303.9;2.83;87.91;
Bu51;Buenoa;DC108_1;7/15/2015;1;0.66;NA;NA;0.66;3.57;NA;NA;3.57;NA;NA;NA;NA;-35.56;307.46;2.59;92.7;
BU132;Buenoa;DC108_1;7/15/2015;1;0.66;NA;NA;0.66;3.625;NA;NA;3.625;NA;NA;NA;NA;-35.31;303.28;2.37;86.63;
BU461;Buenoa;DC108_1;7/15/2015;1;0.66;NA;NA;0.66;3.705;NA;NA;3.705;NA;NA;NA;NA;-35.89;320.09;2.59;93.46;
BU76;Buenoa;DC108_1;7/15/2015;1;0.67;NA;NA;0.67;3.488;NA;NA;3.488;NA;NA;NA;NA;-37.72;273.4;3.52;77.51;
BU264;Buenoa;DC108_1;7/15/2015;1;0.67;NA;NA;0.67;3.503;NA;NA;3.503;NA;NA;NA;NA;-36.93;272.66;2.59;76.67;
Bu34;Buenoa;DC108_1;7/15/2015;1;0.68;NA;NA;0.68;3.678;NA;NA;3.678;NA;NA;NA;NA;-37.08;350.16;3.03;98.38;
BU213;Buenoa;DC108_1;7/15/2015;1;0.68;NA;NA;0.68;3.688;NA;NA;3.688;NA;NA;NA;NA;-37.16;311.77;2.46;87.22;
BU226;Buenoa;DC108_1;7/15/2015;1;0.68;NA;NA;0.68;4.332;NA;NA;4.332;NA;NA;NA;NA;-33.57;330.88;2.8;90.76;
BU202;Buenoa;DC108_1;7/15/2015;1;0.69;NA;NA;0.69;3.342;NA;NA;3.342;NA;NA;NA;NA;-37.13;271.51;1.97;75.65;
BU463;Buenoa;DC108_1;7/15/2015;1;0.69;NA;NA;0.69;3.65;NA;NA;3.65;NA;NA;NA;NA;-36.32;353.57;2.53;100.91;
BU302;Buenoa;DC108_1;7/15/2015;1;0.69;NA;NA;0.69;3.678;NA;NA;3.678;NA;NA;NA;NA;-36.66;334.12;2.21;92.13;
BU105;Buenoa;DC108_1;7/15/2015;1;0.69;NA;NA;0.69;3.713;NA;NA;3.713;NA;NA;NA;NA;-36.37;314.92;2.26;86.89;
BU165;Buenoa;DC108_1;7/15/2015;1;0.7;NA;NA;0.7;3.447;NA;NA;3.447;NA;NA;NA;NA;-37.38;306.46;3.4;85.93;
BU260;Buenoa;DC108_1;7/15/2015;1;0.7;NA;NA;0.7;3.481;NA;NA;3.481;NA;NA;NA;NA;-37.33;307.14;3.17;82;
Bu32;Buenoa;DC108_1;7/15/2015;1;0.72;NA;NA;0.72;3.64;NA;NA;3.64;NA;NA;NA;NA;-37.04;361.93;3.46;94.71;
BU60;Buenoa;DC108_1;7/15/2015;1;0.74;NA;NA;0.74;3.997;NA;NA;3.997;NA;NA;NA;NA;-30.43;356.58;2.49;95.9;
BU90;Buenoa;DC108_1;7/15/2015;1;0.75;NA;NA;0.75;3.667;NA;NA;3.667;NA;NA;NA;NA;-35.61;302.13;2.45;85.23;
BU183;Buenoa;DC108_1;7/15/2015;1;0.75;NA;NA;0.75;3.736;NA;NA;3.736;NA;NA;NA;NA;-35.28;363.88;2.64;98.29;
BU385;Buenoa;DC108_1;7/15/2015;1;0.76;NA;NA;0.76;3.586;NA;NA;3.586;NA;NA;NA;NA;-36.32;337.36;2.49;99.83;
Bu33;Buenoa;DC108_1;7/15/2015;1;0.77;NA;NA;0.77;3.824;NA;NA;3.824;NA;NA;NA;NA;-37.04;389.8;3.62;106.43;
BU355;Buenoa;DC108_1;7/15/2015;1;0.77;NA;NA;0.77;4.096;NA;NA;4.096;NA;NA;NA;NA;-35.63;379.54;2.61;111.22;
BU263;Buenoa;DC108_1;7/15/2015;1;0.79;NA;NA;0.79;3.567;NA;NA;3.567;NA;NA;NA;NA;-37.47;361.14;2.08;105.47;
BU139;Buenoa;DC108_1;7/15/2015;1;0.79;NA;NA;0.79;3.84;NA;NA;3.84;NA;NA;NA;NA;-36.89;386.28;2.11;107.69;
BU115;Buenoa;DC108_1;7/15/2015;1;0.8;NA;NA;0.8;3.656;NA;NA;3.656;NA;NA;NA;NA;-37.11;351.09;2.74;97.94;
BU267;Buenoa;DC108_1;7/15/2015;1;0.8;NA;NA;0.8;3.816;NA;NA;3.816;NA;NA;NA;NA;-36.18;392.53;2.55;103.91;
BU246;Buenoa;DC108_1;7/15/2015;1;0.81;NA;NA;0.81;3.329;NA;NA;3.329;NA;NA;NA;NA;-36.76;342.58;2.12;95.82;
BU82;Buenoa;DC108_1;7/15/2015;1;0.82;NA;NA;0.82;3.557;NA;NA;3.557;NA;NA;NA;NA;-35.18;364.08;2.43;103.71;
BU201;Buenoa;DC108_1;7/15/2015;1;0.83;NA;NA;0.83;3.512;NA;NA;3.512;NA;NA;NA;NA;-34.32;272.56;2.81;80.61;
BU352;Buenoa;DC108_1;7/15/2015;1;0.83;NA;NA;0.83;3.78;NA;NA;3.78;NA;NA;NA;NA;-34.41;365.47;2.74;107.39;
BU77;Buenoa;DC108_1;7/15/2015;1;0.83;NA;NA;0.83;3.795;NA;NA;3.795;NA;NA;NA;NA;-36.17;408.06;2.35;112.57;
BU68;Buenoa;DC108_1;7/15/2015;1;0.84;NA;NA;0.84;4.21;NA;NA;4.21;NA;NA;NA;NA;-35.43;444.66;2.59;128.59;
BU199;Buenoa;DC108_1;7/15/2015;1;0.85;NA;NA;0.85;3.638;NA;NA;3.638;NA;NA;NA;NA;-36.7;441.91;3.03;123.38;
BU176;Buenoa;DC108_1;7/15/2015;1;0.86;NA;NA;0.86;3.485;NA;NA;3.485;NA;NA;NA;NA;-37.73;396.96;2.76;107.1;
Bu55;Buenoa;DC108_1;7/15/2015;1;0.86;NA;NA;0.86;3.624;NA;NA;3.624;NA;NA;NA;NA;-35.65;446.82;2.63;118.34;
BU288;Buenoa;DC108_1;7/15/2015;1;0.86;NA;NA;0.86;3.713;NA;NA;3.713;NA;NA;NA;NA;-34.44;460.89;2.14;132.33;
BU396;Buenoa;DC108_1;7/15/2015;1;0.87;NA;NA;0.87;3.704;NA;NA;3.704;NA;NA;NA;NA;-36.31;408.79;2.39;118.16;
BU127;Buenoa;DC108_1;7/15/2015;1;0.87;NA;NA;0.87;4.787;NA;NA;4.787;NA;NA;NA;NA;-36.88;383.07;2.51;106.28;
BU123;Buenoa;DC108_1;7/15/2015;1;0.88;NA;NA;0.88;3.718;NA;NA;3.718;NA;NA;NA;NA;-35.01;417.27;2.6;116.13;
BU460;Buenoa;DC108_1;7/15/2015;1;0.88;NA;NA;0.88;3.781;NA;NA;3.781;NA;NA;NA;NA;-36.52;405.53;2.4;116.12;
